"Tijdstempel","In welke leeftijdsgroep val je?","Maak je gebruik van Social Media? Zo ja, kruis degene aan waar je gebruik van maakt:","Voel je je door Corona eenzamer?","Zijn er wel eens dingen die je anoniem wilt delen?","Als je ja gekozen hebt, hoe zou je dingen anoniem willen delen? Als je nee gekozen hebt mag je deze vraag overslaan.","Heb je wel eens gehoord van de Kindertelefoon?","Als je ja gekozen hebt, welke vormen van de kindertelefoon ken je? Als je nee gekozen hebt mag je deze vraag overslaan.","Hoe zou je het liefst benaderd willen worden door de Kindertelefoon voor informatie?","Op welke manier zou je de kindertelefoon het liefst willen benaderen? Kruis de opties aan die je het fijnst lijken"
"2021/09/17 9:25:21 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Ja","E-mail","Ja","Bellen;Forum","School;Social Media;Advertenties (flyers, posters)","Bellen;E-mail;Instagram"
"2021/09/17 9:25:25 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Ja","Nee","","Nee","","Social Media","E-mail"
"2021/09/17 9:25:57 a.m. EET","13 - 14","Instagram;Facebook;Whatsapp;YouTube","Ja","Nee","","Ja","Bellen;Live Chat","School;Advertenties (flyers, posters)","Live Chat"
"2021/09/17 9:26:09 a.m. EET","13 - 14","TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","Social Media","Bellen;Live Chat;Snapchat"
"2021/09/17 9:26:17 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube","Ja","Nee","","Nee","","Social Media","Bellen;Whatsapp;Instagram;Facebook;TikTok;Snapchat"
"2021/09/17 9:26:33 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube;Twitch","Nee","Nee","","Ja","Bellen","Social Media","Bellen;Live Chat;Instagram;TikTok"
"2021/09/17 9:27:28 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube;Twitch","Nee","Nee","","Nee","","Social Media","E-mail;Whatsapp;Instagram;TikTok;Snapchat"
"2021/09/17 9:28:27 a.m. EET","13 - 14","Snapchat","Nee","Ja","E-mail","Ja","Bellen","School","Bellen;E-mail"
"2021/09/17 9:28:50 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","School","Bellen"
"2021/09/17 9:28:53 a.m. EET","11 - 12","Instagram;TikTok;Snapchat;Whatsapp;YouTube;Twitch","Ja","Nee","","Ja","Bellen;Live Chat","School;Social Media;Advertenties (flyers, posters)","Whatsapp;Instagram;Snapchat;Anders"
"2021/09/17 9:29:03 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","School","Whatsapp"
"2021/09/17 9:29:26 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","Social Media","Bellen;Whatsapp"
"2021/09/17 9:29:31 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","School","E-mail"
"2021/09/17 9:30:04 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Twitter;Whatsapp;YouTube;Twitch","Nee","Nee","","Ja","Live Chat","Social Media","E-mail;Live Chat;Whatsapp"
"2021/09/17 9:30:06 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","","Social Media","Live Chat"
"2021/09/17 9:30:16 a.m. EET","13 - 14","Instagram;Snapchat;Whatsapp;YouTube;Twitch","Nee","Nee","","Ja","Bellen","School","Anders"
"2021/09/17 9:30:29 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Twitter;Whatsapp;YouTube;Twitch","Nee","Nee","","Ja","Bellen","Social Media","Bellen"
"2021/09/17 9:30:39 a.m. EET","13 - 14","TikTok;Snapchat;Whatsapp;YouTube;Twitch","Ja","Ja","Live Chat;Bellen","Nee","","School","TikTok"
"2021/09/17 9:31:07 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube;Twitch","Ja","Nee","","Ja","Bellen","School","Whatsapp"
"2021/09/17 9:32:57 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube;Twitch","Ja","Nee","","Ja","Bellen","School","Whatsapp"
"2021/09/17 9:44:25 a.m. EET","15 - 16","YouTube;Twitch","Nee","Nee","","Ja","Bellen","Social Media","Bellen"
"2021/09/17 9:44:31 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp","Nee","Nee","","Ja","Bellen","Social Media","Bellen"
